Gene,Consensus_Score,Selection_Frequency
IFI27,6,1.0
IFI44,5,0.8333333333333334
EPSTI1,5,0.8333333333333334
PLEKHA1,5,0.8333333333333334
EXOSC4,5,0.8333333333333334
FCGR1BP,5,0.8333333333333334
HERC5,5,0.8333333333333334
IFITM3,4,0.6666666666666666
IFI6,4,0.6666666666666666
GADD45B,4,0.6666666666666666
FUT4,4,0.6666666666666666
HNRNPH1,4,0.6666666666666666
SERPING1,4,0.6666666666666666
RBM14,4,0.6666666666666666
SOCS1,4,0.6666666666666666
ABCB1,4,0.6666666666666666
SMARCD3,4,0.6666666666666666
LAMP3,4,0.6666666666666666
GPR84,4,0.6666666666666666
BCL11A,4,0.6666666666666666
PARP9,3,0.5
BLOC1S1,3,0.5
ATF5,3,0.5
OAS3,3,0.5
RUBCNL,3,0.5
USP7,3,0.5
ISG15,3,0.5
BATF2,3,0.5
EGR1,3,0.5
LY6E,3,0.5
SLC35F6,3,0.5
CASP8,3,0.5
RFWD3,3,0.5
PTMS,3,0.5
F12,3,0.5
FCRL2,3,0.5
CD63,3,0.5
TNFAIP3,3,0.5
MX1,3,0.5
TNFAIP6,3,0.5
ZNF83,3,0.5
MT2A,3,0.5
PIK3C2B,3,0.5
RNASE2,3,0.5
SRSF4,3,0.5
IFIT5,2,0.3333333333333333
COLQ,2,0.3333333333333333
RNF181,2,0.3333333333333333
PTGDS,2,0.3333333333333333
SLC22A16,2,0.3333333333333333
SNF8,2,0.3333333333333333
ABLIM1,2,0.3333333333333333
RNF31,2,0.3333333333333333
CD163,2,0.3333333333333333
IFI27L2,2,0.3333333333333333
ASGR1,2,0.3333333333333333
ROMO1,2,0.3333333333333333
REC8,2,0.3333333333333333
NFKBIA,2,0.3333333333333333
IFI35,2,0.3333333333333333
SYTL1,2,0.3333333333333333
OASL,2,0.3333333333333333
UBE2S,2,0.3333333333333333
TLR10,2,0.3333333333333333
STARD8,2,0.3333333333333333
SRSF5,2,0.3333333333333333
NAA38,2,0.3333333333333333
YPEL1,2,0.3333333333333333
GSTO1,2,0.3333333333333333
CYSTM1,2,0.3333333333333333
GZMK,2,0.3333333333333333
COMMD4,2,0.3333333333333333
SH2D1B,2,0.3333333333333333
IFI44L,2,0.3333333333333333
IFIT3,2,0.3333333333333333
KLHL22,2,0.3333333333333333
SLC66A2,2,0.3333333333333333
ZDHHC12,2,0.3333333333333333
TRIP6,2,0.3333333333333333
PCYOX1,2,0.3333333333333333
LGALS1,2,0.3333333333333333
HNRNPDL,2,0.3333333333333333
KLRB1,2,0.3333333333333333
OAF,2,0.3333333333333333
SAMD9L,1,0.16666666666666666
RSAD2,1,0.16666666666666666
ITGAM,1,0.16666666666666666
S100A9,1,0.16666666666666666
PTGDR,1,0.16666666666666666
CIRBP,1,0.16666666666666666
IL1RN,1,0.16666666666666666
CEACAM1,1,0.16666666666666666
MT1E,1,0.16666666666666666
PPTC7,1,0.16666666666666666
DDIT3,1,0.16666666666666666
SPTLC2,1,0.16666666666666666
SNHG1,1,0.16666666666666666
TRAFD1,1,0.16666666666666666
PNISR,1,0.16666666666666666
ANKRD22,1,0.16666666666666666
HP,1,0.16666666666666666
GLRX,1,0.16666666666666666
SWAP70,1,0.16666666666666666
EIF2AK2,1,0.16666666666666666
LRP3,1,0.16666666666666666
FYN,1,0.16666666666666666
XAF1,1,0.16666666666666666
CRY1,1,0.16666666666666666
TCN2,1,0.16666666666666666
ZNF264,1,0.16666666666666666
SGSM2,1,0.16666666666666666
CENPW,1,0.16666666666666666
CMPK2,1,0.16666666666666666
IFIH1,1,0.16666666666666666
GALT,1,0.16666666666666666
NPHP3,1,0.16666666666666666
TXK,1,0.16666666666666666
CTNNAL1,1,0.16666666666666666
LGALS3BP,1,0.16666666666666666
TBC1D10C,1,0.16666666666666666
TDRD7,1,0.16666666666666666
IL2RB,1,0.16666666666666666
ANXA3,1,0.16666666666666666
OGT,1,0.16666666666666666
KLRF1,1,0.16666666666666666
OAS1,1,0.16666666666666666
SAMD9,1,0.16666666666666666
PLSCR1,1,0.16666666666666666
NOP10,1,0.16666666666666666
IFIT1,1,0.16666666666666666
SMIM24,1,0.16666666666666666
SQOR,1,0.16666666666666666
GNG5,1,0.16666666666666666
SAP30,1,0.16666666666666666
ZNF329,1,0.16666666666666666
KLF12,1,0.16666666666666666
IRF7,1,0.16666666666666666
BST2,1,0.16666666666666666
TMED1,1,0.16666666666666666
PTTG1,1,0.16666666666666666
HERC6,1,0.16666666666666666
GPBAR1,1,0.16666666666666666
DYRK2,1,0.16666666666666666
TXNDC17,1,0.16666666666666666
RTP4,1,0.16666666666666666
HBQ1,1,0.16666666666666666
SPATS2L,1,0.16666666666666666
SLPI,1,0.16666666666666666
MED13L,1,0.16666666666666666
TLE4,1,0.16666666666666666
ZNF91,1,0.16666666666666666
FCER1A,1,0.16666666666666666
DESI1,1,0.16666666666666666
ZNFX1,1,0.16666666666666666
TNFSF13B,1,0.16666666666666666
PHPT1,1,0.16666666666666666
RETSAT,1,0.16666666666666666
ABCA1,1,0.16666666666666666
EIF3D,1,0.16666666666666666
DHDDS,1,0.16666666666666666
SAMSN1,1,0.16666666666666666
NCL,1,0.16666666666666666
MATK,1,0.16666666666666666
PBX4,1,0.16666666666666666
NSMCE2,1,0.16666666666666666
POLM,1,0.16666666666666666
NSG1,1,0.16666666666666666
ATXN7L3B,1,0.16666666666666666
CXCR6,1,0.16666666666666666
ATF7IP2,1,0.16666666666666666
IL1B,1,0.16666666666666666
CD200R1,1,0.16666666666666666
HLA-DRA,1,0.16666666666666666
MAD2L1BP,1,0.16666666666666666
STT3B,1,0.16666666666666666
SIGLEC9,1,0.16666666666666666
MIAT,1,0.16666666666666666
LHFPL2,1,0.16666666666666666
SASH1,1,0.16666666666666666
RNF125,1,0.16666666666666666
BRSK1,1,0.16666666666666666
GNA15,1,0.16666666666666666
SLC7A6,1,0.16666666666666666
ZFP90,1,0.16666666666666666
NIBAN3,1,0.16666666666666666
ISG20,1,0.16666666666666666
USP18,1,0.16666666666666666
ZNF548,1,0.16666666666666666
SCRN1,1,0.16666666666666666
WDR59,1,0.16666666666666666
IFIT2,1,0.16666666666666666
FNBP4,1,0.16666666666666666
CITED4,1,0.16666666666666666
CD6,1,0.16666666666666666
FAH,1,0.16666666666666666
DENND2D,1,0.16666666666666666
SRRM2,1,0.16666666666666666
CCR1,1,0.16666666666666666
PCED1B-AS1,1,0.16666666666666666
TFF3,1,0.16666666666666666
JAK1,1,0.16666666666666666
CKAP4,1,0.16666666666666666
CTDSP2,1,0.16666666666666666
ZNF831,1,0.16666666666666666
TMEM181,1,0.16666666666666666
ITPK1,1,0.16666666666666666
CNNM3,1,0.16666666666666666
